id,name,description,deck
355,Ace Combat Electrosphere,F- air-to-ground air-to-sea stratosphere combat lock enemy sght action control spectacular real mid-air autopilot control day night aircraft carrier bullet strike crash impact analog controller cam action sky load maximum action carrier mission critical dark,early import version lot release fair few attractive first place
358,A Collection of Activision Classic Games for the Atari ,buck game baby all-time video game arcade collection kind original game console serious old-school fun,many playable flea dollar favorite old collection
360,Adidas Power Soccer,favorite team choice team wealth net-busting special first-rate soccer experience,high standard soccer fare
361,Adidas Power Soccer ,turf-scorching second game new motion-captured unique special team season player database real-life,number whistle
365,The Adventures of Lomax,way head diabolical power sinister hex action frantic thriller,state-of-the-art fun ride
366,Aero Fighters Assault,team help doom variety enemy aircraft bos globe multiple battle game,flight new meaning
367,AeroGauge,control own new futuristic racing game sharp keen eye ultimate control mph field route victory advanced game such remarkable control mind-tingling,same conceptual play
368,Aerostar,desolate inhabitable Many mutant havoc defenseless total extermination powerful fighter state-of-the-art vehicle destruction salvation useless right pilot,new skew top-down blaster concept
369,AeroWings,thing reality piece glass flip spin detailed formation solo gameplay try glass okay,realistic authentic experience
371,Afterlife,world-building simulation hereafter unearthly sense humor god-knows-where galaxy regional spiritual director task prime unreal estate hell happy sim plentiful afterlife zone respective arrive afterlife many way good time half-dozen supernatural total annihilation money planet infinite gameplay pitchfork sophisticated engine sim game letter,semi-omnipotent responsible functional heaven hell strange planet
374,Agile Warrior F- X,by-the-books academy-trained flight sim serious high speed high surface-to-air arcade combat action multi-role fighter craft around-the kind top-secret military design cutting-edge technology-and blast world sky-ripping ground-shaking adrenaline-pumping action,Not-so-exciting gameplay not-so-absorbing not-so-hot
377,Aidyn Chronicles The First Mage,truth name heritage distant danger corner destiny mage,role-playing game third dimension successful
378,AirForce Delta,target multiple tail lock-on sky mercenary group fuel-up strap-in enemy pot home deal different job ready serious air,interested Cruise-like McGillis-style subplot
384,Akuji the Heartless,adventure game violent sensual world voodoo action game voodoo way artificial intelligence game darker story,little purchase money time
386,Albert Odyssey Legend of Eldean,world borne enchantment rule impossible orphan life harpy village peace tranquility slow dreadful certainty insidious evil land ancient truce man beast magician harpy land war terror thrust conflict source evil peace land order life dear role land colorful true menu-driven combat danger-filled orchestral music final confrontation fate world forth dark evil bound vengeance,
390,Alien Resurrection,ultimate weapon crew space research vessel survival,space final launch
391,Alien Trilogy,small simple problem mind ruthless corporate queen arsenal lethal gut-churning action original trilogy black-death white-knuckle nightmare,firepower
396,All-Star Baseball ,development house sterling rep great high-resolution visual feast multiple player night detailed texture ivy row action big screen field nice use look multiple pull straightaway opposite-field push lineup signature everyone,baseball time
398,All Star Tennis ,power speed intensity professional tennis professional tennis top talent tennis life overhead mph dive cross-court head-to-head tournament play,good-natured quirkiness something afterthought middle-of-the-road gameplay
399,Allied General,world storm such fun likely -Star time game console campaign American Soviet German army choose side victory new troop such Finnish little conjecture several what-if never-realized invasion many,term kind game
400,All-Star Featuring Frank Thomas,realistic player ALL-STAR expansion schedule arsenal actual specialty computer ultimate baseball challenge game,feature-heavy game adequate control
401,All-Star Baseball ,baseball afternoon lifetime time glossy excellent sound engineering team extra-long,year tradition new gameplay year version top shape
403,Alone in the Dark The New Nightmare,moment foot mysterious evil intent progress ancient secret key incredible menacing phenomenon threaten corner shadow deep,clumsy port clumsy port console game
404,Alone in the Dark The Trilogy ,classic trilogy macabre adventure game real-time animation several unique camera first many evil darkness house easy part voodoo sequel eight-year-old girl gang evil zombie aptly-named final quest ultimate challenge Western,great deal
405,Alundra,strange troubled village great evil wait huge foul vast enthralling adventure wide end,addictive well-rounded game fun
409,Amok,hero time destructive mercenary game hell futuristic land-crawler high-tech underwater sub series everything sight,mech game game good right alley
410,Anachronox,galaxy long-dead alien race technology mysterious bent universe existence same other mystery plot existence evil chaos,solid addition genre rough welcome sense humor lot personality
411,Andretti Racing,superb action car car player Split-Screen pit player race coverage agony mph needle car screen paint bruising car car driving style,scenery light rush-hour crawl
412,Angel Devoid Face of the Enemy,reconstructive surgery arch enemy face mirror dangerous master criminal bizarre accident face man hunter choice infiltrate dark world death shadow myriad unpredictable real intuition able alive mystery new identity,good sheer bad attitude
413,Antz,worker eye slim evil true hero princess heart land,platform game genre enjoyable small scale -bit
414,Anvil of Dawn,ultimate fantasy adventure noble journey world battle skill humanity evil fate massive landscape beauty scope add realism attack disposal magical elemental such fire water hybrid turn-based real-time combat pace battle,title line combat game enjoyable balance
417,Ape Escape,boisterous band zoo escape ape anarchy human race analog great,development storyline title
418,Apocalypse,end world nano-physicist sole defender world happy control action time motion-captured intense hard-core action doomsday multi-level war everything ground explosive sound dismal future on-screen Good thing rip,opportunity something cool
420,Arc the Lad Collection,chapter next secret special first game series magical world edge destruction young power destruction way power second game series bounty hunter tragic past presence first game vast array impressive chapter job system multiple-viewpoint first console innovative CD package individual battle monster new lead character first way role-playing world fully- polygon environment heroic battle world black advance ultimate evil,varied experience tendency
